p_val	avg_log2FC	pct.1	pct.2	p_val_adj
evm.TU.000098F-arrow-pilon.12	3.00468336439121e-11	-2.48132750360193	0.055	0.16	5.65150894008343e-07
MSTRG.5654.update	3.45671369707164e-11	-2.75112695273896	0.055	0.157	6.50173279282205e-07
MSTRG.16374.update	4.09665127063464e-11	-1.98109115532375	0.041	0.14	7.70539137493669e-07
evm.TU.000267F-arrow-pilon.27	6.26089087075457e-11	-1.51943504303182	0.127	0.251	1.17761096388023e-06
evm.model.000097F-arrow-pilon.35.update	6.45472922375435e-11	-0.954242538629399	0.018	0.107	1.21407001969596e-06
evm.model.000055F-arrow-pilon.37.update	1.06816733744923e-10	-1.16534676162714	0.035	0.131	2.00911594500826e-06
evm.TU.000210F-arrow-pilon.8	1.49149880346812e-10	0.271406851865013	0.242	0.14	2.80536009944319e-06
evm.model.000273F-arrow-pilon.26.update	1.99338489643842e-10	0.259452507929994	0.752	0.6	3.74935765171102e-06
evm.model.000207F-arrow-pilon.1.update	2.21016109045982e-10	-0.792666034900958	0.059	0.161	4.15709199504587e-06
evm.model.000128F-arrow-pilon.8.update	2.63565220378465e-10	-2.8279053468804	0.098	0.207	4.95739823009855e-06
evm.model.000204F-arrow-pilon.10.update	2.78034130788778e-10	-0.777453563002095	0.086	0.196	5.22954396600613e-06
evm.model.000034F-arrow-pilon.56.update	4.1729112734726e-10	0.269731966622813	0.789	0.741	7.84882881427462e-06
evm.model.000178F-arrow-pilon.41.update	5.45868070413057e-10	-1.02594968565124	0.111	0.231	1.02672325363992e-05
evm.model.000437F-arrow-pilon.14.update	5.61083901015617e-10	-0.935432133429614	0.051	0.149	1.05534270942027e-05
MSTRG.13881.update	8.23258427750222e-10	-1.4848615344638	0.041	0.135	1.54846677675539e-05
evm.model.000165F-arrow-pilon.8.update	1.0044027506772e-09	-0.527884080823622	0.025	0.11	1.88918113374875e-05
evm.model.000570F-arrow-pilon.4.update	1.26723377303342e-09	-1.76190121379274	0.139	0.253	2.38354000369855e-05
evm.model.000980F-arrow-pilon.2.update	1.28058102125806e-09	-0.894077771834721	0.037	0.125	2.40864484288429e-05
MSTRG.6454.update	1.39224853172947e-09	-1.41217509131479	0.033	0.12	2.61868026332996e-05
evm.model.000102F-arrow-pilon.10.update	1.60768766292559e-09	-1.21369050428666	0.037	0.124	3.02389972519674e-05
evm.model.000933F-arrow-pilon.2.update	1.95205650746027e-09	-0.858006155579608	0.082	0.184	3.67162308488202e-05
evm.model.000417F-arrow-pilon.11.update	2.38979625409098e-09	-0.641146076036824	0.033	0.119	4.49496777431973e-05
evm.model.000047F-arrow-pilon.59.2.update	2.70664714984582e-09	-2.10556288306115	0.021	0.1	5.090932624145e-05
evm.model.000160F-arrow-pilon.27.update	4.06054690507566e-09	-0.693390743774918	0.07	0.165	7.63748267375681e-05
evm.model.000364F-arrow-pilon.10.update	4.22288400511986e-09	-1.86351787357072	0.078	0.174	7.94282252522994e-05
evm.TU.000076F-arrow-pilon.82	6.46101466246746e-09	-1.11410656108249	0.025	0.105	0.000121525224786351
evm.model.000668F-arrow-pilon.11.update	8.08314513522594e-09	-0.959105816474893	0.035	0.117	0.000152035876848465
evm.model.000187F-arrow-pilon.31.update	8.63616369041407e-09	-0.898785565436316	0.141	0.242	0.000162437602852998
evm.TU.000451F-arrow-pilon.15	8.88573982731612e-09	-1.08631373938244	0.043	0.126	0.000167131880411989
evm.model.000156F-arrow-pilon.15.update	1.05013147304442e-08	-1.32450373566139	0.037	0.119	0.000197519228764924
evm.model.000116F-arrow-pilon.22.update	1.18880601639818e-08	-0.760508458152258	0.043	0.127	0.000223602523624334
evm.model.000059F-arrow-pilon.19.update	1.25725696718667e-08	-1.85828300832172	0.037	0.118	0.00023647746295814
MSTRG.6458.update	1.2782405719943e-08	0.316170184948014	0.1	0.046	0.000240424269186408
evm.model.000105F-arrow-pilon.63.update	1.57158149072098e-08	-3.28258092179772	0.041	0.121	0.000295598762589709
evm.model.000467F-arrow-pilon.6.update	1.62455885000711e-08	-1.14795350208687	0.064	0.153	0.000305563274097837
evm.model.000085F-arrow-pilon.52.update	1.70824787459802e-08	-0.808795077413112	0.072	0.166	0.000321304342733142
MSTRG.4894.update	1.83153919429276e-08	-0.904118169166828	0.076	0.169	0.000344494207054524
evm.model.000144F-arrow-pilon.29.update	1.83756634968624e-08	-0.741207754458074	0.033	0.112	0.000345627854712485
evm.model.000260F-arrow-pilon.33.update2	2.29961919510294e-08	-2.29996884904184	0.043	0.121	0.000432535374406912
evm.model.000004F-arrow-pilon.118.update	2.4363621283756e-08	-0.894871146655976	0.086	0.177	0.000458255352726166
evm.model.000064F-arrow-pilon.57.update	3.55199074654214e-08	-1.02641832805791	0.029	0.104	0.000668093939517112
evm.model.000566F-arrow-pilon.5.update	4.0669526655356e-08	-0.496078093078437	0.129	0.229	0.000764953126860592
evm.model.000779F-arrow-pilon.2.update	4.17408693151822e-08	0.47829757426114	0.584	0.503	0.000785104010949262
MSTRG.2942.update	4.82339152056343e-08	-0.696076044390739	0.068	0.153	0.000907231711102776
evm.model.000021F-arrow-pilon.92.update	5.61203888380982e-08	-1.0950875949819	0.119	0.208	0.00105556839365579
evm.model.000319F-arrow-pilon.8.1.update	6.49383480516516e-08	-1.39470909576962	0.098	0.191	0.00122142538850351
evm.model.000047F-arrow-pilon.13.update	1.16421362389802e-07	-0.477567616885051	0.105	0.192	0.00218976940518979
evm.model.000101F-arrow-pilon.28.1.update	1.17777235131594e-07	-0.520202574718055	0.049	0.127	0.00221527201559015
evm.model.000002F-arrow-pilon.57.update	1.34256346798003e-07	-0.746889492092024	0.07	0.156	0.00252522762692363
evm.model.000019F-arrow-pilon.62.update	1.90343170484384e-07	-0.503506491118707	0.047	0.123	0.00358016469364079
evm.model.000597F-arrow-pilon.13.update	2.51560319702753e-07	-0.629164965850702	0.098	0.187	0.00473159805328909
evm.model.000446F-arrow-pilon.28.update	3.25949192875699e-07	-0.487610848668464	0.092	0.181	0.00613077836879902
evm.model.000059F-arrow-pilon.17.update	3.28125910515145e-07	-0.558779854632317	0.061	0.14	0.00617172025087935
evm.model.000098F-arrow-pilon.52.update	3.81821796754453e-07	-1.46775308744869	0.041	0.111	0.00718168617515451
evm.model.000004F-arrow-pilon.99.update	3.98784722945747e-07	-0.672156328933281	0.035	0.101	0.00750074185388655
MSTRG.1847.update	4.06793565476638e-07	-0.290659537905422	0.377	0.294	0.00765138017305008
evm.model.000072F-arrow-pilon.58.update	4.36938866233856e-07	-0.777041773796156	0.057	0.131	0.0082183831349926
evm.TU.000133F-arrow-pilon.28	5.17206033467395e-07	-0.562282491964765	0.053	0.127	0.00972812828348823
evm.model.000002F-arrow-pilon.60.update	7.10094757757513e-07	-0.508867705420483	0.051	0.124	0.0133561722986611
evm.model.000301F-arrow-pilon.14.update	7.12412553880987e-07	0.652532363189528	0.1	0.051	0.0133997677259475
evm.model.000045F-arrow-pilon.71.update	1.28754546448734e-06	-0.956917062963137	0.066	0.139	0.0242174426415424
evm.model.000025F-arrow-pilon.51.update	1.61880276007875e-06	-0.77809664457976	0.035	0.1	0.0304480611143211
evm.model.000134F-arrow-pilon.23.update	1.83329250302326e-06	-0.673997365675773	0.041	0.105	0.0344823986893645
MSTRG.14932.update	1.95112442311665e-06	-1.71121602980991	0.057	0.126	0.0366986992744011
evm.model.000193F-arrow-pilon.2.update	2.10290056201219e-06	-0.449341201906089	0.148	0.238	0.0395534566708873
evm.model.000006F-arrow-pilon.34.update	2.19118251834373e-06	-0.636719303966339	0.041	0.105	0.0412139519875272
evm.model.000057F-arrow-pilon.73.update	2.38797692280393e-06	-0.28940681811774	0.041	0.105	0.0449154579410191
evm.TU.000185F-arrow-pilon.11	2.51611474460726e-06	-1.58648437359441	0.049	0.114	0.0473256022313179
evm.model.000024F-arrow-pilon.28.update	2.54471090623461e-06	0.288040614894189	0.461	0.369	0.0478634674353667
evm.TU.000458F-arrow-pilon.5	2.63987451319064e-06	-1.85908404274301	0.076	0.148	0.0496533997186028
evm.model.001062F-arrow-pilon.4.update	2.87183912789399e-06	-0.378370230256951	0.1	0.179	0.0540164221565581
evm.model.000127F-arrow-pilon.5.update	3.44648940880496e-06	-0.490493262947079	0.039	0.102	0.0648250192902125
evm.model.000024F-arrow-pilon.50.update	3.56487731937834e-06	0.345052655953267	0.34	0.25	0.0670517775001873
evm.model.000260F-arrow-pilon.27.update	3.68039258471201e-06	-1.51254848127195	0.047	0.109	0.0692245041258481
evm.TU.000379F-arrow-pilon.14	3.98968825578058e-06	0.549583166374376	0.334	0.257	0.0750420464029768
evm.model.000163F-arrow-pilon.38.update	5.06338456293094e-06	-0.454004532651149	0.062	0.131	0.095237200244168
evm.TU.000006F-arrow-pilon.125	6.29419073684933e-06	-0.567221572027667	0.041	0.102	0.118387433569399
evm.model.000081F-arrow-pilon.1.update	6.3957508787582e-06	-0.454453895212114	0.129	0.212	0.120297678278563
evm.model.000227F-arrow-pilon.10.update	6.97975608511826e-06	-0.48470241891899	0.051	0.113	0.131282232204989
evm.model.000405F-arrow-pilon.9.update	7.2228073356712e-06	0.577603916789598	0.105	0.06	0.13585378317664
evm.model.000058F-arrow-pilon.28.update	8.27982620141181e-06	-2.76461691245341	0.053	0.113	0.155735251022355
evm.model.000225F-arrow-pilon.3.update	1.00961077227105e-05	-0.575224186822183	0.062	0.127	0.189897690156462
evm.TU.000479F-arrow-pilon.7	1.15782198626866e-05	0.402189197599747	0.416	0.349	0.217774737397273
evm.model.000183F-arrow-pilon.2.1.update	1.2046006953038e-05	-0.347524211692208	0.047	0.108	0.226573344779693
evm.model.000200F-arrow-pilon.13.update	1.27903471566997e-05	-0.530529533980699	0.105	0.177	0.240573639670365
MSTRG.1418.update	1.33024484769352e-05	-3.41123961121465	0.076	0.14	0.250205753402674
evm.model.000178F-arrow-pilon.42.update	1.68012814524204e-05	-1.1212220421557	0.043	0.101	0.316015302838576
evm.model.000771F-arrow-pilon.2.update	1.78197374568083e-05	-0.681591161777318	0.055	0.115	0.335171441825107
evm.model.000018F-arrow-pilon.66.1.update	2.24014434285854e-05	-0.584895259279879	0.061	0.121	0.421348749448263
evm.model.000143F-arrow-pilon.39.update	2.46751323203637e-05	-0.454453277832679	0.096	0.164	0.464114563813721
MSTRG.8783.update	2.49601396193069e-05	-0.582288650748112	0.094	0.159	0.469475266099544
evm.model.000166F-arrow-pilon.10.update	4.65546304756279e-05	-0.42159136190916	0.129	0.202	0.875646044616085
evm.model.000345F-arrow-pilon.1.update	5.32472159405232e-05	-0.502041871058844	0.064	0.122	1
evm.model.000034F-arrow-pilon.76.update	7.14925203405227e-05	-0.532904158619775	0.074	0.135	1
evm.model.000090F-arrow-pilon.4.update	7.30522218101103e-05	-0.509588977525167	0.094	0.155	1
evm.model.000455F-arrow-pilon.10.4.update	8.55197097702046e-05	-0.378358381610143	0.09	0.153	1
evm.model.000178F-arrow-pilon.25.update	9.9382402579081e-05	0.430262253209104	0.117	0.074	1
evm.model.000376F-arrow-pilon.17.update	0.000100870907344923	-0.736123174701171	0.092	0.157	1
evm.model.000109F-arrow-pilon.31.update	0.000101387914104958	-0.319710437880534	0.166	0.241	1
evm.model.000212F-arrow-pilon.4.update	0.000115479511003422	-0.342424925718306	0.072	0.129	1
evm.model.000199F-arrow-pilon.12.update	0.000143914421477986	-1.38653781495452	0.051	0.101	1
evm.model.000028F-arrow-pilon.26.update	0.000173639709995993	-0.492308026517293	0.111	0.174	1
